name,edition,type,price,rating
Agave Loco,Agave Loco Pepper Cured Tequila Resposado,Tequila,37.99,6.7
Riazul,Riazul Tequila Añejo,Tequila,57.99,8.8
Partida Tequila,Partida Elegante Tequila Extra Anejo,Tequila,336.99,9
Excellia,Excellia Tequila Reposado,Tequila,64.99,7.7
Tapatio,Tapatio Tequila Reposado,Tequila,49.99,8.1
Casamigos,Casamigos Tequila Reposado,Tequila,47.99,8.3
Casa Dragones,Casa Dragones Tequila Joven,Tequila,251.99,7.8
Fidencio,Fidencio Clasico Joven Mezcal,Mezcal,41.99,7.6
Avion,Avion Tequila Silver,Tequila,37.99,7.8
Casa Noble,Casa Noble Tequila Reposado,Tequila,48.99,8.4
7 Leguas,7 Leguas Tequila Reposado,Tequila,56.99,8.6
Revolucion,Revolucion Tequila Añejo,Tequila,53.99,7.9
Don Pancho,Don Pancho Origenes 18 Year Reserva Especial Rum,Rum,78.99,8.6
Facundo,Facundo Eximo Rum,Rum,73.99,10
Avua,Avua Oak Cachaça,Cachaça,52.99,5.4
Trois Rivières,Trois Rivières VSOP Rum,Rum,63.99,7.2
Flor de Caña,Flor de Caña 5 Year Añejo Clásico,Rum,25.99,7.5
Facundo,Facundo Neo Rum,Rum,50.99,8.3
Facundo,Facundo Exquisito Rum,Rum,124.99,9.8
Facundo,Facundo Paraiso Rum,Rum,270.99,0
Ron Medellin,Ron Medellin Gran Reserva 12 Year Rum,Rum,35.99,7.7
Selvarey,Selvarey White Rum,Rum,24.99,8.3
Flor de Caña,Flor de Caña 4 Year Añejo Oro,Rum,19.99,7.7
Brinley Gold,Brinley Gold Shipwreck Spiced Rum,Rum,25.99,8.1
Flor de Caña,Flor de Caña 25 Year,Rum,138.99,8.9
Flor de Caña,Flor de Caña 7 Year Gran Reserva,Rum,24.99,7.7
Clement,Clement Select Barrel Rhum,Rum,38.99,6.4
Opihr,Opihr Oriental Spiced London Dry Gin,Gin,35.99,7.6
Wenneker,Wenneker Elderflower Dry Gin,Gin,40.99,7.1
Merlet,Merlet VS Cognac,Cognac,31.99,7.2
Crown Royal,Crown Royal Northern Harvest Rye,Rye,32.99,7.2
Jefferson's,Jefferson's Manhattan Bourbon,Bourbon,36.99,6.7
Quinta do Noval,Quinta do Noval Late Bottle Vintage Port,Wine,31.99,8.8
Kavalan,Kavalan Oloroso Sherry Oak,Taiwanese Whisky,135.99,7.3
Cleveland Whiskey,Cleveland Black Reserve American Bourbon Whiskey,Bourbon,32.99,7.3
Flor de Caña,Flor de Caña 12 Year,Rum,37.99,8
St. George,St. George Dry Rye Reposado Gin,Gin,35.99,8.5
Journeyman,Journeyman Corsets Whips & Whiskey,American Whiskey,63.99,7.2
Catoctin Creek,Catoctin Creek Single Barrel Roundstone Rye Whisky,Rye,47.99,6.8
Dalwhinnie,Dalwhinnie Distillers Edition,Scotch,119.99,8.2
Raff Distillerie,Bummer & Lazarus Dry Gin,Gin,35.99,7.5
Cleveland Whiskey,Cleveland Underground Black Cherry Finish Bourbon,Bourbon,41.99,7.5
Iconic Brands,Apocalypto Tequila Reposado,Tequila,41.99,7.7
The Glenlivet,The Glenlivet 12 Year Old First Fill,Scotch,44.99,7.5
anCnoc,AnCnoc Rascan,Scotch,94.99,7.6
Nikka,Nikka Yoichi Single Malt,Japanese Whisky,144.99,8.3
Pendleton,Pendleton 1910 12 Year Old Whisky,Canadian Whisky,32.99,8.2
El Mayor,El Mayor Añejo Tequila,Tequila,33.99,7.6
Marca Negra,Mezcal Marca Negra Tobala,Mezcal,109.99,7.3
Glenfarclas,Glenfarclas 25 Year Old,Scotch,170.99,8.6
Bumbu,Bumbu The Original Rum,Rum,37.99,8.7
Roe & Co,Roe & Co Blended Irish Whiskey,Irish Whiskey,33.99,7.3
Black Fly,Black Fly Bourbon,Bourbon,78.99,5.7
Centenario International,Ron Centenario 30 Year Old Edicion Limitada,Rum,147.99,8.6
Kings County,Kings County Peated Bourbon,Bourbon,74.99,6.8
Widow Jane,Widow Jane Distilled From a Rye Mash - Oak & Apple Wood Aged Whiskey,Rye,50.99,7.3
Widow Jane,Widow Jane Distilled From a Rye Mash – American Oak Aged Whiskey,Rye,48.99,7.8
Slane,Slane Triple Casked Irish Whiskey,Irish Whiskey,27.99,7.9
Port Askaig,Port Askaig 110° Proof,Scotch,68.99,6.6
Chivas Regal,Chivas Regal Mizunara,Scotch,45.99,7.8
Barr Hill,Barr Hill Tom Cat Gin,Gin,55.99,7.7
Pike Creek,Pike Creek 10 Year Old Rum Barrel Finished Canadian Whisky,Canadian Whisky,29.99,7.1
Bunnahabhain,Bunnahabhain Stiùireadair,Scotch,47.99,8.3
Suntory,Suntory Roku Gin,Gin,26.99,8.4
Kurayoshi,Kurayoshi Pure Malt Whisky,Japanese Whisky,70.99,8.2
Kurayoshi,Kurayoshi 8 Year Old Pure Malt Whisky,Japanese Whisky,79.99,7
Kurayoshi,Kurayoshi 18 Year Old Pure Malt Whisky,Japanese Whisky,206.99,8.6
Kurayoshi,Kurayoshi Sherry Cask Pure Malt Whisky,Japanese Whisky,79.99,7.6
Kurayoshi,Kurayoshi 8 Year Old Sherry Cask Pure Malt Whisky,Japanese Whisky,86.99,7
James E. Pepper,James E. Pepper 1776 Rye Whiskey Sherry Cask Finished,Rye,47.99,7.8
Hyde,Hyde No. 6 President's Reserve,Irish Whiskey,68.99,7
Clyde May's,Clyde May's Special Reserve Alabama Style Whiskey,American Whiskey,59.99,7.5
James E. Pepper,James E. Pepper 1776 100 Proof Bourbon Whiskey,Bourbon,28.99,7.6
Jameson,Jameson Caskmates IPA Edition,Irish Whiskey,25.99,7.3
Glendalough,Glendalough 13 Year Old Single Malt Irish Whiskey,Irish Whiskey,93.99,8.3
Knappogue Castle,Knappogue Castle 14 Year Old Twin Wood,Irish Whiskey,59.99,7.9
Glendalough,Glendalough Poitin Mountain Strength,Moonshine,35.99,7.1
Bertha's Revenge,Bertha's Revenge Irish Milk Gin Small Batch,Gin,39.99,7.4
Drumshanbo,Drumshanbo Gunpowder Irish Gin,Gin,38.99,8.2
Dingle,Dingle Original Pot Still Gin,Gin,41.99,9
Barr an Uisce,Barr an Uisce Wicklow Rare Small Batch,Irish Whiskey,55.99,8
I.W. Harper,I.W. Harper 15 Year Old,Bourbon,84.99,8.4
Wolfburn,Wolfburn Northland,Scotch,68.99,6.1
Coppersea,Coppersea Excelsior Straight Bourbon Whisky,Bourbon,69.99,6.4
Aberlour,Aberlour 16 Year Old (40%),Scotch,79.99,8.2
Clase Azul,Clase Azul Mezcal,Mezcal,263.99,8.7
Wahaka,Wahaka Joven Tepeztate Mezcal,Mezcal,139.99,7.7
El Jolgorio,El Jolgorio Pechuga Mezcal,Mezcal,156.99,8.2
El Jolgorio,Nuestra Soledad San Luis del Rio Mezcal,Mezcal,56.99,7.4
Las Joyas del Agave,Don Amado Arroqueno Mezcal,Mezcal,102.99,8.3
Tosba,Tosba Tobala Mezcal,Mezcal,117.99,6
Amaras,Amaras Cupreata Mezcal,Mezcal,60.99,7
Sagamore Spirit,Sagamore Spirit Straight Rye Whiskey,Rye,39.99,7.6
Citadelle,Citadelle Extremes No. 1 No Mistake Old Tom Gin,Gin,50.99,8.8
Malfy,Malfy Gin Originale,Gin,29.99,8.7
Port Askaig,Port Askaig 8 Year Old,Scotch,67.99,6.9
WhistlePig,WhistlePig 10 Year Old Rye Whiskey (375ml),Rye,37.99,7.5
Appleton Estate,Appleton Estate Joy Anniversary Blend 25 Year Old Rum,Rum,251.99,8.3
Santa Fe Spirits,Colkegan Single Malt Whiskey,American Whiskey,63.99,6.5
NY Distilling Co.,Ragtime Straight Rye Whiskey,Rye,45.99,8.1
Our/Vodka,Our/Vodka New York,Vodka,21.99,7.1
Devil's River,Devils River Small Batch Texas Bourbon,Bourbon,23.99,6.9
Smooth Ambler,Smooth Ambler Big Level Wheated Bourbon,Bourbon,55.99,6.3
Colonel E.H. Taylor,Colonel E.H. Taylor Four Grain Bourbon Whiskey,Bourbon,1110.99,8.9
Alexander Murray,Alexander Murray Bon Accord,Scotch,39.99,6.5
Alexander Murray,Alexander Murray Monumental Blend 18 Year Old,Scotch,85.99,7.3
Bruichladdich,Bruichladdich Port Charlotte 10 Year Old Heavily Peated,Scotch,67.99,8.3
Knob Creek,Knob Creek Single Barrel Reserve Bourbon,Bourbon,52.99,7.9
WhistlePig,WhistlePig 15 Year Old Straight Rye Whiskey,Rye,199.99,8.7
Russell's Reserve,Russell's Reserve 6 Year Old Small Batch Kentucky Straight Rye Whiskey,Rye,47.99,7.4
Louis XIII,Louis XIII Miniature Cognac,Cognac,567.99,9.8
Seedlip,Seedlip Garden 108,Non-alcoholic Spirit,32.99,6.3
Proper No. Twelve,Proper No. Twelve Irish Whiskey,Irish Whiskey,24.99,7.3
Breckenridge,Breckenridge Spiced Whiskey,American Whiskey,45.99,7.4
Compass Box,Compass Box The Spaniard,Scotch,63.99,8
Union Horse,Union Horse Reserve Bourbon,Bourbon,42.99,7.9
Lismore,Lismore 21 Year Old,Scotch,88.99,8.1
Balcones,Balcones Texas Rye 100 Proof,Rye,41.99,6.5
Aberlour,Aberlour Casg Annamh Batch 1,Scotch,67.99,7.5
NY Distilling Co.,Mister Katz's Rock & Rye,American Whiskey,28.99,7.6
Highland Park,Highland Park Magnus,Scotch,40.99,6.4
Highland Park,Highland Park 15 Year Old Fire Edition,Scotch,309.99,7.2
Highland Park,Highland Park Valkyrie,Scotch,79.99,7.9
Highland Park,Highland Park Viking Honour 12 Year Old,Scotch,51.99,7.2
Highland Park,Highland Park Viking Pride 18 Year Old,Scotch,151.99,8.4
Highland Park,Highland Park The Dark 17 Year Old,Scotch,250.99,8.9
The Glenrothes,The Glenrothes Bourbon Cask Reserve,Scotch,48.99,7.7
Catoctin Creek,Catoctin Creek Cask Proof Roundstone Rye Whisky,Rye,90.99,8.6
Breckenridge,Breckenridge Distiller's High Proof Blend Bourbon,Bourbon,59.99,7.9
OOLA,OOLA Waitsburg Bourbon,Bourbon,42.99,7.7
OOLA,OOLA Discourse Three Shores Whiskey,Rye,48.99,5.8
Johnnie Walker,Johnnie Walker 18 Year Old,Scotch,86.99,8.3
Barr Hill,Barr Hill Vodka,Vodka,60.99,7.8
Wigle,Wigle Pennsylvania Straight Wheat Whiskey,American Whiskey,49.99,7.8
Wigle,Wigle Single Barrel Straight Rye Whiskey,Rye,66.99,6.7
Virginia Distillery Company,Port Cask Finished Virginia Highland Whisky,American Whiskey,49.99,6.7
Virginia Distillery Company,Chardonnay Cask Finished Virginia Highland Whisky,American Whiskey,57.99,5.7
Virginia Distillery Company,Cider Cask Finished Virginia Highland Whisky,American Whiskey,62.99,6.5
Roots,Roots Tentura,Liqueur,42.99,8.8
Four Roses,Four Roses Small Batch Bourbon,Bourbon,32.99,7.7
Merlet,Merlet VSOP Cognac,Cognac,49.99,8.2
Egan's,Egan's 10 Year Old,Irish Whiskey,66.99,8.1
Egan's,Egan's Vintage Grain,Irish Whiskey,46.99,7.7
Egan's,Egan's Legacy Reserve 15 Year Old,Irish Whiskey,208.99,8.2
Copper & Kings,Copper & Kings Absinthe Alembic Blanche,Absinthe,58.99,7.5
Copper & Kings,Copper & Kings American Craft Brandy,Brandy,35.99,6.8
