name,edition,type,price,rating
Mackinlay's,Mackinlay's Shackleton Blended Malt Scotch Whisky,Scotch,33.99,7.1
Woodinville,Woodinville Straight Bourbon Whiskey,Bourbon,41.99,8
Woodinville,Woodinville Straight Rye Whiskey,Rye,41.99,7.9
Ving,VING Farm Fresh Corn,Vodka,32.99,7.3
Virgil Kaine,Virgil Kaine Ginger Infused Bourbon,Bourbon,36.99,7.5
Virgil Kaine,Virgil Kaine Rip Track Bourbon,Bourbon,38.99,7
Horse Soldier,Horse Soldier Barrel Strength Bourbon,Bourbon,88.99,8.1
Ardbeg,Ardbeg Drum Limited Edition,Scotch,159.99,8.2
Sazerac,Sazerac Mister Sam Tribute,American Whiskey,999.99,9
Balvenie,The Balvenie The Week of Peat 14 Year Old,Scotch,97.99,8.4
Balvenie,The Balvenie A Day of Dark Barley 26 Year Old,Scotch,794.99,8.8
Balvenie,The Balvenie The Sweet Toast of American Oak 12 YO,Scotch,66.99,8.3
Peerless,Kentucky Peerless Straight Bourbon,Bourbon,78.99,8.4
Powers,Powers Three Swallow,Irish Whiskey,47.99,8
Writers Tears,Writers' Tears Double Oak,Irish Whiskey,60.99,8.3
Hotaling & Co.,Old Potrero 18th Century Style Rye Spirit,Rye,68.99,7.4
Compass Box,Compass Box Affinity,Spirit,135.99,7.5
Pinhook,Pinhook Straight Rye,Rye,40.99,7.8
The Glenlivet,The Glenlivet Enigma 4th Edition,Scotch,119.99,8.7
Heaven's Door,Heaven's Door Tennessee Bourbon Whiskey 10 Year Old,Bourbon,146.99,7.7
Basil Hayden's,Basil Hayden's Caribbean Reserve Rye,Spirit,47.99,7.3
Glendalough,Glendalough Rose Gin,Gin,33.99,9
The Glenlivet,The Glenlivet 14 Year Cognac Cask Selection,Scotch,52.99,8.2
Rabbit Hole,Rabbit Hole Boxergrail,Rye,50.99,8.1
WhistlePig,WhistlePig FarmStock Rye Crop No. 003,Rye,66.99,8.6
Boodles,Boodles Mulberry Gin,Gin,28.99,8.4
Boodles,Boodles British Gin,Gin,25.99,8.6
Journeyman,Journeyman Not a King Rye,Rye,54.99,7.6
Journeyman,Journeyman Red Arrow,Vodka,34.99,6.3
Kilchoman,Kilchoman STR,Scotch,125.99,8.8
W.L. Weller,Weller Full Proof Wheated Bourbon,Bourbon,343.99,7.9
Buffalo Trace,Weller Antique 107 Wheated Bourbon,Bourbon,107.99,8.4
Dos Hombres,Dos Hombres Mezcal,Mezcal,60.99,7.9
Hennessy,Hennessy V.S Limited Edition by Felipe Pantone Cognac,Cognac,51.99,7
Johnnie Walker,Johnnie Walker Blue Label Ghost and Rare Port Glenury Royal,Scotch,417.99,9.1
Highland Park,Highland Park Twisted Tattoo 16 Year Old,Scotch,100.99,8.2
Singani 63,Singani 63 Brandy,Brandy,27.99,6.7
Larga Vida,Larga Vida XO Rum 2019 Edition,Rum,66,8.2
Mars,Mars Iwai 45 Whisky,Japanese Whisky,40.99,8.3
Duke Bourbon,Duke Small Batch Bourbon,Bourbon,37.99,8
Woodford Reserve,Woodford Reserve Wheat Whiskey,Bourbon,31.99,7.6
Uncle Nearest,Uncle Nearest 1884 Premium Small Batch Whiskey,American Whiskey,46.99,8.7
Jefferson's,Jefferson's Ocean Special Wheated Voyage 19,Bourbon,84.99,8.3
Glenallachie,GlenAllachie 18 Year Old,Scotch,141.99,4.9
Glenallachie,GlenAllachie 12 Year Old,Scotch,47.99,8.4
Glenallachie,GlenAllachie 10 Year Old Cask Strength Batch 1,Scotch,59.99,8.1
Empress 1908,Empress 1908 Indigo Gin,Gin,41.99,9
Glenmorangie,Glenmorangie Quinta Ruban 14 Year Old,Scotch,58.99,8.2
WhistlePig,WhistlePig Double Malt 18 Year Old,Rye,372.99,9
Hardy,Hardy Cognac Noces d'Argent,Cognac,200.99,9.8
Hardy,Hardy Cognac XO Rare Cognac Fine Champagne,Cognac,136.99,9
Lexington,Lexington Bourbon,Bourbon,40.99,6.8
Pinhook,Pinhook Bourbon War 4 Year Old,Bourbon,49.99,7.9
Maggie's Farm,Maggie's Farm 50/50 Dark Rum,Rum,36.99,7.8
Bushido Whisky,Meiyo Single Grain Whisky 17 Year Old,Japanese Whisky,343.99,8.7
Argonaut,Argonaut Speculator Brandy,Brandy,42.99,7
Rabbit Hole,Rabbit Hole Heigold Bourbon,Bourbon,60.99,8.2
Wolfburn,Wolfburn Morven,Scotch,65.99,7
Wolfburn,Wolfburn Langskip,Scotch,88.99,7.2
Parker's Heritage Collection,Parker's Heritage Collection 13th Edition 8 Year Old Rye,Rye,378.99,9
WhistlePig,WhistlePig X Flaviar Chef's Blend 2019,Rye,129.99,8.7
Knob Creek,Knob Creek Quarter Oak,Bourbon,50.99,7.6
Hyde,Hyde 6 Year Old No.3 The Áras Cask,Irish Whiskey,61.99,7.1
Kings County,Kings County Straight Bourbon,Bourbon,69.99,7.5
Hardy,Hardy Cognac Legend 1863,Cognac,50.99,8.5
PAU,Pau Maui Vodka,Vodka,21.99,6.7
Pisco Logia,Pisco Logia Acholado,Brandy,42.99,7.6
Death Wish Coffee,Death Wish Coffee Flavored Vodka,Vodka,42.99,7.3
Cyril Zangs,Cyril Zangs 00 Cider Eau de Vie,Spirit,91.99,5.2
Château de Léberon,Château de Léberon Solera 2001 Armagnac,Armagnac,102.99,7.6
Roger Groult,Roger Groult Calvados Pays d'Auge 3 Year Old,Brandy,60.99,7
Guillon Painturaud,Guillon-Painturaud VSOP Cognac,Cognac,66.99,8.1
Four Roses,Four Roses Small Batch Limited Edition 2019,Bourbon,401.99,8.9
Compass Box,Compass Box No Name No.2,Scotch,147.99,8.6
Glenfiddich,Glenfiddich Grand Cru,Scotch,315.99,9
Spirits of the Apocalypse,The Walking Dead Bourbon,Bourbon,17.99,7.4
Johnnie Walker,Johnnie Walker Blue Label Ghost and Rare Brora,Scotch,343.99,8.7
Jefferson's,Jefferson's Twin Oak Kentucky Straight Bourbon,Bourbon,86.99,7.9
Don Julio,Don Julio Reposado Double Cask Lagavulin Finish,Tequila,59.99,8.4
Stronachie,Stronachie 10 Year Old,Scotch,46.99,6.9
Heaven's Door,Heaven's Door Double Barrel,American Whiskey,47.99,7.3
Johnnie Walker,John Walker & Sons XR 21 Year Old,Scotch,162.99,9
Royal Brackla,Royal Brackla 16 Years Old,Scotch,139.99,8.3
The Macallan,The Macallan Edition No.5,Scotch,131.99,8.3
El Buho,El Buho Especial Cuishe,Mezcal,55.99,9
Misunderstood Whiskey Co.,Misunderstood Ginger Spiced Whiskey,American Whiskey,35.99,8.7
Highclere Castle Spirits,Highclere Castle Gin,Gin,43.99,9.2
Sagamore Spirit,Sagamore Spirit Cognac Finish,Rye,67.99,8
Rockey's,Rockey's Milk Punch,Liqueur,24.99,8.4
Pinhook,Pinhook Rye Humor Cask Strength Rye,Rye,49.99,8.5
Willett,Willett Pot Still Reserve (1.75l),Bourbon,100.99,8.6
Barrell Craft Spirits,Barrell Whiskey American Vatted Malt,American Whiskey,84.99,7.9
WhistlePig,WhistlePig Boss Hog Edition 六: The Samurai Scientist,Rye,490.99,9.7
Cotswolds,Cotswolds Founder's Choice,English Whisky,75.99,9.2
Westward Whiskey,Westward Whiskey Oregon Stout Cask,American Whiskey,96.99,8.9
Ardbeg,Ardbeg Traigh Bhan 19 Year Old 2019 Edition,Scotch,309.99,9.6
Smooth Ambler,Smooth Ambler Old Scout Straight Bourbon,Bourbon,46.99,7.7
Hine,Hine Homage Grand Cru Fine Champagne Cognac,Cognac,150.99,3.9
Mortlach,"Mortlach 16 Year ""Distiller's Dram""",Scotch,119.99,9.6
Heaven's Door,Heaven's Door Bootleg - 2019 Limited Edition Gift Box,American Whiskey,493.99,7.8
Mortlach,Mortlach 12 Year Old “The Wee Witchie”,Scotch,57.99,8.4
Breckenridge,Breckenridge Single Barrel Bourbon Whiskey,Bourbon,110.99,8
Bardstown Bourbon,"Bardstown Bourbon ""Discovery"" Series #1",Bourbon,147.99,9.1
Aberlour,Aberlour Abunadh Alba,Scotch,84.99,8.7
Johnnie Walker,Johnnie Walker Blue Label Year Of The Rat Limited Edition,Scotch,222.99,8.9
Hercules Mulligan,Hercules Mulligan Rum & Rye,Spirit,38,8.1
Monfleurie,Monfleurie Cognac 1960 Grande Champagne,Cognac,2887.99,10
Waterloo,Waterloo Antique Gin,Gin,31.99,8.5
Waterloo,Waterloo Old Yaupon Gin,Gin,26.99,9.1
Waterloo,Waterloo No. 9 Gin,Gin,24.99,0
Treaty Oak,Treaty Oak Ghost Hill Texas Bourbon,Bourbon,49.99,7.2
Treaty Oak,Treaty Oak Red Handed Bourbon,Bourbon,43.99,9
Treaty Oak,Treaty Oak Red Handed Rye 10 Year Old,Rye,49.99,0
Few,Few Cold Cut Bourbon,Bourbon,44.99,8.1
Tres Comas,Tres Comas Anejo Tequila,Tequila,37.99,8.1
Game of Thrones,Game Of Thrones Six Kingdoms Mortlach 15 Year Old,Scotch,135.99,9.1
Knob Creek,Knob Creek 12 Year Old Bourbon,Bourbon,60.99,7.9
Riazul,Riazul Extra Anejo Tequila,Tequila,147.99,9
Kirk and Sweeney,Kirk and Sweeney XO Rum,Rum,210.99,8.4
Casa Dragones,Casa Dragones Tequila Blanco (375ml),Tequila,40.99,9.4
Bobby's Gin Company,Bobby's Schiedam Jenever Dry Gin,Gin,43.99,8.4
iichiko,iichiko Shochu Saiten,Spirit,31.99,4.7
El Tesoro de Don Felipe,El Tesoro Extra Añejo Tequila,Tequila,97.99,9
Black Button,Black Button Four Grain Bourbon,Bourbon,59.99,7.6
Compass Box,Compass Box Myths & Legends I,Scotch,153.99,9
Compass Box,Compass Box Myths & Legends II,Scotch,153.99,9
Compass Box,Compass Box Myths & Legends III,Scotch,153.99,10
Elephant,Elephant Strength Gin - Navy Strength,Gin,49.99,9.2
Old Fitzgerald,Old Fitzgerald 15 Year Old Bottled In Bond Bourbon,Bourbon,510.99,8.7
Fukano,Fukano Vault Reserve #2,Japanese Whisky,82.99,7.6
New Riff,New Riff Kentucky Straight Bourbon,Bourbon,43.99,8.2
Koval,Koval Single Barrel Oat Whiskey,American Whiskey,49.99,8.5
Belle Meade,Belle Meade Cask Strength Reserve Bourbon,Bourbon,69.99,7.9
New Riff,New Riff Single Barrel Bourbon,Bourbon,61.99,8.1
New Riff,New Riff Straight Rye,Rye,45.99,8.2
Isaac Bowman,Isaac Bowman Port Barrel Finished Bourbon,Bourbon,46.99,8.1
Compass Box,Compass Box The Circle I,Scotch,148.99,5.8
Barrell Craft Spirits,Barrell Bourbon 15 Year Old Cask Strength,Bourbon,257.99,8.5
Matsui Shuzo,Matsui The Peated,Japanese Whisky,89.99,7.5
Penelope Bourbon,Penelope Bourbon Four Grain,Bourbon,40.99,7.1
Penelope Bourbon,Penelope Bourbon Four Grain Barrel Strength,Bourbon,68.99,7.3
Batiste Rhum,Batiste Rhum Silver,Rum,26.99,7
Batiste Rhum,Batiste Rhum Gold,Rum,30.99,10
Foursquare,Foursquare 2007 Single Blended Rum,Rum,81.99,9
Jameson,Jameson Cold Brew,Irish Whiskey,27.99,7.2
Glenmorangie,Glenmorangie The Cadboll Estate 15 Year Old,Scotch,86.99,9
Harahorn,Harahorn Gin,Gin,41.99,8.7
Old Bardstown,Old Bardstown Estate Bottled,Bourbon,34.99,7.1
The Classic Cask,The Classic Cask 23 Year Old Original Cask,Scotch,176.99,8.1
The Classic Cask,The Classic Cask 23 Year Old Caribbean Rum Finish,Scotch,153.99,8.1
The Classic Cask,The Classic Cask 23 Year Old Oloroso Sherry Finish,Scotch,153.99,8.9
The Classic Cask,The Classic Cask 23 Year Old Port Finish,Scotch,176.99,8.7
Redemption,Redemption 10 Year Old Barrel Proof High Rye,Bourbon,90.99,7.1
Southwind,Southwind Moonshine,Moonshine,48,6.2
Republic Restoratives,Borough Bourbon Batch 3,Bourbon,55.99,0
Kaiyo,Kaiyo The Single Japanese Mizunara Oak Whisky,Japanese Whisky,55.99,7.1
Bushido Whisky,Makoto Single Grain 23 Year Old Japanese Whisky,Japanese Whisky,669.99,9.1
Whitley Neill,Whitley Neill Blood Orange Handcrafted Dry Gin,Gin,31.99,8.2
Canadian Club,Canadian Club Chronicles Issue no.2,Canadian Whisky,309.99,10
Kentucky Owl,Kentucky Owl Straight Bourbon Whiskey Batch No.9,Bourbon,361.99,10
Johnnie Walker,Jane Walker 2.0 - 10 Year Old,Scotch,33.99,7.6
Rogue,Rogue Spirits Dead Guy Whiskey,American Whiskey,48.99,7.8
Rogue,Rogue Spirits Oregon Single Malt Whiskey,American Whiskey,62.99,8.5
Rogue,Rogue Spirits Oregon Rye Malt Whiskey,Rye,59.99,10
Buffalo Trace,Buffalo Trace Bourbon 1750ml,Bourbon,66.99,8.1
291 Colorado Whiskey,291 Colorado Barrel Proof Bourbon Whiskey,Bourbon,95.99,7.2
House of Elrick,House of Elrick Gin,Gin,44.99,7.3
Teeling,Teeling Single Pot Still Whiskey,Irish Whiskey,61.99,8.1
Pinhook,Pinhook Rye'd On,American Whiskey,41.99,8.5
Amethyst,Amethyst Handcrafted Lavender Gin,Gin,37.99,7.7
The Macallan,The Macallan Classic Cut 2019 Limited Edition,Scotch,92.99,8
Redbreast,Redbreast 27 Year Old,Irish Whiskey,470.99,9.4
Fukano,Fukano 10 Year Old,Japanese Whisky,90.99,7.7
Knob Creek,Knob Creek Cask Strength Rye Whiskey,Rye,72.99,7.4
Wigle,Wigle Pennsylvania Wheat Whiskey,American Whiskey,52.99,7.8
R6,R6 Bourbon Whiskey,Bourbon,49.99,9.1
Alfred Giraud,Alfred Giraud Heritage French Malt Whisky,French Whisky,160.99,0
Devil's River,Devils River Barrel Strength Texas Bourbon Whiskey,Bourbon,26.99,7.6
Devil's River,Devils River Rye Whiskey,Rye,26.99,7
Alexander Murray,Alexander Murray Glenlossie 19 Year Old 1997,Scotch,130.99,7.3
Filibuster,Filibuster Dual Cask Rye Whiskey,Rye,49.99,7
Bulleit,Bulleit Blenders' Select No. 001,Bourbon,54.99,8.1
Glendalough,Glendalough 25 Year Old,Irish Whiskey,794.99,0
Redemption,Redemption Wheated Bourbon,Bourbon,50.99,6.8
Paul John,Paul John Nirvana Single Malt Indian Whisky,Indian Whisky,33.99,7.3
Coldfoot,Coldfoot American Single Malt Whiskey,American Whiskey,99.99,8.8
Woodford Reserve,Woodford Reserve Kentucky Straight Malt Whiskey,American Whiskey,32.99,7.1
Heaven Hill,Heaven Hill 6 Year Old Green Label,Bourbon,37.99,6.4
Old Forester,Old Forester Signature Bourbon 100 Proof,Bourbon,26.99,7
Sagamore Spirit,Sagamore Spirit Rye Calvados Finish,Rye,69.99,0
Five & 20,Five & 20 Straight Rye Whiskey,Rye,37.99,0
Five & 20,Five & 20 Straight Bourbon Whiskey,Bourbon,37.99,3.5
Five & 20,Five & 20 Port Finish Rye Whiskey,Rye,64.99,0
John Emerald,John Emerald Alabama Single Malt Whiskey,American Whiskey,49.99,8.8
291 Colorado Whiskey,291 Colorado Single Barrel Bourbon Whiskey,Bourbon,74.99,7
291 Colorado Whiskey,291 Colorado Single Barrel Rye Whiskey,Rye,74.99,8.8
Dewar's,Dewar's 15 Year Old,Scotch,41.99,7.5
Royal Brackla,Royal Brackla 12 Year Old,Scotch,84.99,0
Bacardi,Bacardi Gran Reserva Diez,Rum,42.99,7.7
Noble Oak,Noble Oak Rye Whiskey,Rye,37.99,8.1
Aberfeldy,Aberfeldy 16 Year Old,Scotch,96.99,8
W.L. Weller,W.L. Weller 12 Year Old Wheated Bourbon Whiskey,Bourbon,280.99,8.5
Compass Box,Compass Box Rogues' Banquet Scotch Whisky,Scotch,232.99,10
Kings County,Kings County Chocolate Whiskey,Moonshine,43.99,6
Golden Moon,Golden Moon Triple Colorado Single Malt Whiskey,American Whiskey,90.99,0
Gun Fighter,Gun Fighter 13 Bourbon Whiskey,Bourbon,113.99,0
Gun Fighter,Gun Fighter Double Cask Bourbon Whiskey,Bourbon,49.99,0
Gun Fighter,Gun Fighter Double Cask Rye Whiskey,Rye,49.99,0
Rhine Hall,Rhine Hall Pear Brandy,Brandy,62.99,0
Antelope Island,Antelope Island Rum,Rum,20.99,0
Woodinville,Woodinville Bourbon Port Cask Finish,Bourbon,57.99,8.5
The Glenlivet,The Glenlivet Caribbean Reserve,Scotch,39.99,7.7
Highland Park,Highland Park 12 Year Old Flaviar Edition 2020,Scotch,209.99,7.8
Teremana,Teremana Tequila Blanco,Tequila,30.99,8.7
Knob Creek,Knob Creek 9 Year Old Small Batch Bourbon,Bourbon,32.99,6.9
Ginny’s Gin,Ginny's Gin,Gin,33.99,0
Heritage Distilling,BSB 103 Brown Sugar Bourbon,Bourbon,26.99,7
Villa One,Villa One Tequila Silver,Tequila,36.99,0
Villa One,Villa One Tequila Añejo,Tequila,49.99,0
Villa One,Villa One Tequila Reposado,Tequila,39.99,0
Ardbeg,Ardbeg 5 Year Old Wee Beastie,Scotch,49.99,8
Quarantine Vodka,Quarantine Vodka,Vodka,27.99,8
Holmes Cay,Holmes Cay Barbados 2005 Single Cask Rum,Rum,147.99,10
Balcones,Balcones Blue Corn Bourbon,Bourbon,99,0
WhistlePig,WhistlePig Homestock Whiskey,American Whiskey,67.99,6.7
Our/Vodka,Our/Vodka New York (750ml),Vodka,32.99,10
Ten To One,Ten To One Caribbean White Rum,Rum,29.99,0
Ten To One,Ten To One Caribbean Dark Rum,Rum,44.99,0
Our/Vodka,Our/Vodka Los Angeles (750ml),Vodka,31.99,0
Dewar's,Dewar's 8 Year Old Ilegal Smooth,Scotch,23.99,0
Alfred Giraud,Alfred Giraud Harmonie French Malt Whisky,French Whisky,193.99,0
Dewar's,Dewar's 18 Year Old,Scotch,54.99,0
Dewar's,Dewar's 8 Year Old Caribbean Rum Cask Finish,Scotch,23.99,7
Diplomático,Diplomatico N°1 Batch Kettle Rum,Rum,72.99,0
Diplomático,Diplomatico N°2 Barbet Rum,Rum,72.99,0
Diplomático,Diplomatico N°3 Pot Still Rum,Rum,84.99,0
Oban,Oban 14 Year Old,Scotch,74.99,8.2
The Dalmore,The Dalmore Cigar Malt Reserve,Scotch,152.99,8.2
Connemara,Connemara Peated,Irish Whiskey,43.99,6.5
Grant's,Grant's Ale Cask Finish,Scotch,23.99,7.5
Balvenie,The Balvenie Scotch Single Malt 17 Year Doublewood,Scotch,158.99,8.8
Knappogue Castle,Knappogue Castle 12 Year Old,Irish Whiskey,39.99,7.9
Cutty Sark,Cutty Sark Prohibition,Scotch,34.99,7.6
Jameson,Jameson Caskmates Stout Edition,Irish Whiskey,27.99,7.5
Frérot,Frérot Cognac XO Assemblage de Crus,Cognac,170,8.1
Magellan,Magellan Gin,Gin,31.99,7.5
Kentucky Owl,Kentucky Owl Straight Rye Whiskey Batch No. 2,Rye,198.99,8.7
Willett,Willett Family Estate 4 Year Old Small Batch Straight Rye Whiskey,Rye,66.99,8.7
Johnnie Walker,Johnnie Walker The White Walker Edition,Scotch,24.99,7
The Macallan,The Macallan 18 Year Old Sherry Oak,Scotch,309.99,9.2
Louis XIII,Louis XIII Cognac,Cognac,3331.99,9.4
Diplomático,Diplomático Reserva Exclusiva,Rum,38.99,8.3
Four Roses,Four Roses Single Barrel Bourbon,Bourbon,43.99,7.9
Ledaig,Ledaig 10 Year Old,Scotch,60.99,8.2
Caol Ila,Caol Ila 12 Year Old,Scotch,64.99,7.9
Dalwhinnie,Dalwhinnie 15 Year Old,Scotch,55.99,7.4
Lagavulin,Lagavulin 16 Year Old,Scotch,94.99,7.8
Tomatin,Tomatin 18 Year Old,Scotch,95.99,8.5
Tyrconnell,Tyrconnell 10 Year Old Sherry Cask Finish,Irish Whiskey,76.99,7.8
Midleton,Midleton Irish Whiskey Barry Crockett Legacy,Irish Whiskey,234.99,9
Willett,Willett Pot Still Reserve,Bourbon,52.99,7.8
Kilchoman,Kilchoman Machir Bay,Scotch,60.99,5.6
James E. Pepper,James E. Pepper 1776 100 Proof Rye Whiskey,Rye,28.99,7.9
Glenfarclas,Glenfarclas 17 Year Old,Scotch,101.99,8.4
Mortlach,Mortlach Rare Old,Scotch,233.99,7.4
Glendalough,Glendalough Double Barrel Irish Whiskey,Irish Whiskey,39.99,8
Suntory,Suntory Hibiki Harmony,Japanese Whisky,86.99,8.3
Charbay,Charbay R5 Hop Flavored Whiskey,American Whiskey,66.99,6.3
Clement,Clement Cuvee Homere Rhum,Rum,99.99,7.8
Kirk and Sweeney,Kirk and Sweeney 18 Year Old Rum,Rum,42.99,8.5
New Holland Artisan Spirits,New Holland Beer Barrel Bourbon,Bourbon,28.99,7.3
Cooperstown Distillery,Beanball 6 Year Old Bourbon,Bourbon,33.99,6.9
Wood's High Mountain Distillery,Wood's Tenderfoot American Malt Whiskey,American Whiskey,54.99,7.6
Tullibardine,Tullibardine 225 Sauternes Finish Scotch,Scotch,57.99,7.1
Barbancourt,Barbancourt 15 Estate Reserve Rhum,Rum,49.99,8.2
Chapter 7,Chapter 7 Highland Small Batch 19 Year Old,Scotch,175.99,7.1
Westland,Westland Sherry Wood American Single Malt Whiskey,American Whiskey,66.99,7.2
Glenfiddich,Glenfiddich IPA Experiment,Scotch,47.99,7.2
Aviation,Aviation Gin,Gin,24.99,7.6
Jefferson's,Jefferson's Reserve Very Old Small Batch Bourbon,Bourbon,47.99,8.3
Widow Jane,Widow Jane 10 Year Old Straight Bourbon Whiskey,Bourbon,61.99,7.7
Tuthilltown Spirits,Hudson Baby Bourbon Whiskey,Bourbon,37.99,6.9
Bib & Tucker,Bib & Tucker 6 Year Old Small Batch Bourbon,Bourbon,48.99,7.6
Highland Park,Highland Park Full Volume,Scotch,90.99,8
Nikka,Nikka Coffey Malt Whisky,Japanese Whisky,76.99,8.3
Breckenridge,Breckenridge PX Sherry Cask Finish Bourbon,Bourbon,60.99,7.9
Peerless,Peerless Kentucky Straight Rye Whiskey,Rye,101.99,8.6
Ledaig,Ledaig 19 Year Old Marsala Cask Finish,Scotch,197.99,8.1
Ohishi,Ohishi Sherry Single Cask Whisky,Japanese Whisky,81.99,7.3
Johnnie Walker,Johnnie Walker Black Label The Jane Walker Edition,Scotch,34.99,6.9
Baker's,Baker's 7 Year Old Bourbon,Bourbon,57.99,7.9
Russell's Reserve,Russell's Reserve Single Barrel Bourbon Whiskey,Bourbon,59.99,7.9
Westland,Westland American Oak Single Malt Whiskey,American Whiskey,64.99,7.6
Wild Turkey,Wild Turkey Kentucky Spirit Single Barrel Bourbon Whiskey,Bourbon,44.99,8.1
Journeyman,Journeyman Last Feather Rye Whiskey,Rye,50.99,7.2
Bulleit,Bulleit Straight Bourbon Whiskey,Bourbon,24.99,7.4
Bluecoat,Bluecoat American Dry Gin,Gin,28.99,8.3
Bulleit,Bulleit Straight Rye Mash Whiskey,Rye,24.99,7.4
Monkey 47,Monkey 47 Schwarzwald Dry Gin (1L Bottle),Gin,66.99,9.3
Wolfburn,Wolfburn Aurora,Scotch,42.99,6.5
Charbay,Charbay Double & Twisted Whiskey,American Whiskey,48.99,7.4
Nelson's Green Brier,Belle Meade Madeira Cask Finish Bourbon,Bourbon,80.99,8
Wild Turkey,Wild Turkey Longbranch Small Batch Bourbon,Bourbon,36.99,7.7
Deanston,Deanston 18 Year Old Bourbon Cask Finish,Scotch,132.99,9.1
Elijah Craig,Elijah Craig Barrel Proof Bourbon,Bourbon,68.99,8.3
The Glenlivet,The Glenlivet 12 Year Old First Fill Exclusive Edition,Scotch,45.99,8.2
Yellowstone,Yellowstone Select Bourbon,Bourbon,39.99,7.7
Orphan Barrel,Orphan Barrel Rhetoric 24 Year Old Bourbon,Bourbon,343.99,8.6
Angostura,Angostura 1919 Rum (8 Year Old),Rum,38.99,8.5
Ichiro's Malt,Ichiro's Malt Grain & Malt,Japanese Whisky,101.99,8.3
Speyburn,Speyburn Bradan Orach,Scotch,26.99,7.1
Del Maguey,Del Maguey Minero,Mezcal,83.99,9.2
Jim Beam,Jim Beam Distillers Masterpiece Sherry Cask Finished Bourbon,Bourbon,458.99,8.1
Ron Botran,Ron Botran 18 Year Old Solera 1893,Rum,37.99,8.1
Selvarey,SelvaRey Cacao Rum,Rum,24.99,8.3
Chivas Regal,Chivas Regal Royal Salute 21 Year Old,Scotch,230.99,8.7
Bushmills,Bushmills 21 Year Old,Irish Whiskey,187.99,8.9
Zafra Rum,Zafra 30 Year Old,Rum,187.99,9.2
Rémy Martin,Rémy Martin 1738 Accord Royal Cognac,Cognac,61.99,8.2
Thames Distillers,Fifty Pounds London Dry gin,Gin,30.99,8.6
Martin's,Martin Miller's Westbourne Strength Gin,Gin,38.99,8.5
Johnnie Walker,Johnnie Walker Blue Label,Scotch,191.99,8.4
Stranahan's,Stranahan's Colorado Whiskey,American Whiskey,54.99,7.7
Crystal Head,Crystal Head Vodka,Vodka,50.99,7.7
Angel's Envy,Angel's Envy Bourbon Whiskey,Bourbon,47.99,8.3
Balvenie,The Balvenie 14 Year Old Caribbean Cask,Scotch,77.99,8.4
Nikka,Nikka Coffey Grain Whisky,Japanese Whisky,67.99,8.2
Auchentoshan,Auchentoshan American Oak,Scotch,41.99,6.9
Kavalan,Kavalan Classic Single Malt Whisky,Taiwanese Whisky,67.99,7.4
Leopold Bros,Leopold Bros Michigan Cherry Flavored Whiskey,American Whiskey,32.99,6.9
NY Distilling Co.,Dorothy Parker American Gin,Gin,34.99,8.3
City of London,City of London Dry Gin,Gin,23.99,8.4
Tullibardine,Tullibardine 20 Year Old,Scotch,172.99,7.8
Barton Distillery,1792 Single Barrel Kentucky Straight Bourbon,Bourbon,57.99,7.7
Templeton Rye Spirits,Templeton Rye Whiskey,Rye,29.99,7.8
Lot 40,Lot No. 40 Canadian Whisky,Canadian Whisky,33.99,7.8
Bluecoat,Bluecoat Barrel Finished American Dry Gin,Gin,35.99,8.7
Kirk and Sweeney,Kirk and Sweeney 23 Year Old Rum,Rum,44.99,8.6
Wood's High Mountain Distillery,Wood's High Mountain Distillery Treeline Barrel Rested Gin,Gin,48.99,7.5
Wood's High Mountain Distillery,Wood's High Mountain Distillery Treeline Gin,Gin,42.99,8.8
Mansinthe,Mansinthe Absinthe,Absinthe,74.99,7.8
Quiet Man,Quiet Man 8 Year Old,Irish Whiskey,40.99,7.6
Suntory,Suntory Toki,Japanese Whisky,35.99,7.3
Old Forester,Old Forester Statesman,Bourbon,57.99,7.8
Kilbeggan,Kilbeggan Single Grain Irish Whiskey,Irish Whiskey,31.99,7.7
John E. Fitzgerald Larceny,John E. Fitzgerald Larceny Small Batch Bourbon,Bourbon,20.99,7.6
Bootlegger 21,Bootlegger 21 New York Bourbon Whiskey,Bourbon,46.99,7.4
Tears of Llorona,Tears of Llorona No. 3 Extra Añejo Tequila,Tequila,223.99,9.3
Ardbeg,Ardbeg An Oa,Scotch,62.99,8.2
Glendalough,Glendalough Wild Botanical Gin,Gin,32.99,9.2
Jefferson's,Jefferson's Reserve Pritchard Hill Cabernet Cask Finished Bourbon,Bourbon,78.99,8.4
Barton Distillery,1792 Small Batch Kentucky Straight Bourbon Whiskey,Bourbon,28.99,7.6
Van Brunt,Van Brunt Stillhouse American Whiskey,American Whiskey,55.99,8
High West,High West 36th Vote Barreled Manhattan,Rye,49.99,7.8
Johnnie Walker,Johnnie Walker Blue Ghost and Rare Special Release,Scotch,286.99,9.5
The Macallan,The Macallan Double Cask Gold,Scotch,66.99,7.5
La Clandestine,La Clandestine Absinthe,Absinthe,82.99,7.2
Springbank,Springbank 12 Year Old Cask Strength,Scotch,119.99,8.5
Talisker,Talisker Storm,Scotch,39.99,7.4
DeadHead,DeadHead Rum,Rum,36.99,7.1
Clement,Clement VSOP Rhum,Rum,43.99,6.8
Few,Few Rye Whiskey,Rye,36.99,6.7
Jefferson's,Jefferson's Chef's Collaboration,Bourbon,52.99,7.6
